General/update_step,_step,_runtime,global_step,_timestamp,General/shaped_reward_agent0,Evaluation/1__cramped_room,Evaluation/2__asymm_advantages,Losses/entropy,Losses/total_loss,Evaluation/4__no_cooperation,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Scaled_returns/evaluation_4__no_cooperation_scaled,returned_episode_lengths,Evaluation/0__smallest_kitchen,General/learning_rate,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/evaluation_2__asymm_advantages_scaled,Losses/actor_loss,Scaled_returns/evaluation_3__square_arena_scaled,General/steps_for_env,General/env_index,Advantage_Targets/targets,Scaled_returns/evaluation_5__easy_layout_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/reg_loss,Evaluation/5__easy_layout,returned_episode_returns,General/explore,Scaled_returns/returned_episode_returns_scaled,General/shaped_reward_agent1,Evaluation/3__square_arena,Losses/value_loss,General/env_step,reward,explore,General/shaped_reward_annealed_agent1,Advantage_Targets/advantages
,1217,240.858957897,2625,1746880550.2122426,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,1221,240.859002751,2625,1746880550.212948,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
,1235,240.859162164,2700,1746880554.5769274,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,1257,240.859561052,2700,1746880554.5797672,,,,,,,,,,,,,,,,,,,,,,,,257.50977,,,,,,,,,,
,1281,240.860055946,2775,1746880558.9473271,,,,,55.827152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1364,360.877844905,2925,1746880567.6806118,,,,,,,,,,,,,,,,,,,,,,,,,,1.0138564,,,,,,,,
3000.0,1382,360.878329576,3000,1746880572.0456848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1408,360.879012604,3075,1746880576.4128733,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
,1414,360.879087794,3075,1746880576.4135897,,,,,,,,,,,,,,,,,,,,,0.045981817,,,,,,,,,,,,,
,1448,360.879491023,3150,1746880580.780539,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2211914,,,,,,,
,1461,360.879642738,3150,1746880580.7818146,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
,1476,360.879813244,3225,1746880585.2414608,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1491,360.879981847,3225,1746880585.2430522,,,,,41.43203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1615,360.881828223,3525,1746880602.705154,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,1624,360.882036034,3525,1746880602.7061427,,,,,,,,,,,,,,,,,,,,,0.022887215,,,,,,,,,,,,,
,1673,360.882957504,3600,1746880607.074266,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,1702,360.883288055,3675,1746880611.4396768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.85318,,,,,
,1724,360.883545645,3750,1746880615.8044431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680000.0,,,,
,1734,360.883658127,3750,1746880615.8053522,,,,0.70935535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1748,360.883821221,3750,1746880615.8068862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,
,1759,360.883947358,3825,1746880620.1722155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7833600.0,,,,
,1830,480.906231247,3981,1746880753.4525352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600.0,,,,
,1850,480.906507596,3981,1746880753.455003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,1881,480.907182407,4056,1746880757.885657,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,1896,480.907514514,4131,1746880762.3144617,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,1920,480.908298696,4131,1746880762.3169446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,1925,480.908359578,4131,1746880762.3170815,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,1958,480.908766181,4206,1746880766.7484443,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
,1973,480.908934666,4281,1746880771.1815279,0.0029296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1974,480.908946396,4281,1746880771.1815574,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073242188,,,,,,,
,1975,480.908957781,4281,1746880771.1817493,,,,,,,,,,,,,,,,,,,,,0.0026491876,,,,,,,,,,,,,
,2001,480.9092567,4356,1746880775.616045,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,2009,480.909347967,4356,1746880775.6169713,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
,2028,480.90957963,4356,1746880775.6183875,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
,2060,480.909954438,4431,1746880780.050899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,2081,480.910192287,4506,1746880784.4832387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024804375,
,2084,480.91022791,4506,1746880784.4833262,,,,,,,,,,,,,,-0.00085931394,,,,,,,,,,,,,,,,,,,,
,2132,480.91077603,4581,1746880788.919282,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
,2144,480.910908257,4656,1746880793.3523293,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
,2145,480.910919651,4656,1746880793.3523586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536000.0,,,,
,2146,480.910930986,4656,1746880793.352386,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,2149,480.9109648,4656,1746880793.3531961,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
,2156,480.911050062,4656,1746880793.3534334,,,,,,,,,,,,,,,,,,,,,,1.9583517,,,,,,,,,,,,
,2210,480.912418428,4806,1746880802.219779,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2260,600.929623721,4881,1746880806.6543336,,,,0.25733954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2352,600.931496473,5106,1746880819.9538765,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2364,600.931633798,5106,1746880819.9551013,,,,,,,,,,,,,,-0.0004064037,,,,,,,,,,,,,,,,,,,,
,2368,600.931680218,5106,1746880819.9552147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010713429,,,,,
,2381,600.931834985,5181,1746880824.3868625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0062757004
,2407,600.932132707,5181,1746880824.3890128,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
,2419,600.932265981,5256,1746880828.819205,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
