returned_episode_lengths,_step,_runtime,global_step,_timestamp,General/learning_rate,reward,Scaled_returns/evaluation_2__square_arena_scaled,General/explore,General/shaped_reward_agent0,General/shaped_reward_annealed_agent1,Losses/reg_loss,Losses/total_loss,Scaled_returns/evaluation_1__no_cooperation_scaled,Scaled_returns/evaluation_0__asymm_advantages_scaled,General/env_index,General/steps_for_env,Evaluation/0__asymm_advantages,Scaled_returns/evaluation_3__smallest_kitchen_scaled,Losses/actor_loss,Losses/entropy,Evaluation/2__square_arena,Evaluation/1__no_cooperation,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/returned_episode_returns_scaled,explore,Losses/value_loss,returned_episode_returns,Advantage_Targets/advantages,returned_episode,General/shaped_reward_annealed_agent0,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,General/update_step,Evaluation/3__smallest_kitchen,General/shaped_reward_agent1,Evaluation/5__cramped_room,Advantage_Targets/targets,Evaluation/4__easy_layout
,1077,240.870092169,2325,1746880555.604818,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
400.0,1081,240.870136922,2325,1746880555.605748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1082,240.87014861,2325,1746880555.6057744,,,,,,,,,,,,,,,,,,,,,,,471.2207,,,,,,,,,,,
,1085,240.870182669,2400,1746880560.4871616,,,,,,,,,,,,,,,,,,,,,,,,-14.725712,,,,,,,,,,
,1120,240.870595601,2475,1746880565.3716297,,,,,,,,,,,,,,,,,,,,,,,,-15.594372,,,,,,,,,,
,1136,240.870777264,2475,1746880565.3729131,,,,,,,,,,,,5068800.0,,,,,,,,,,,,,,,,,,,,,,
,1153,240.8709683,2475,1746880565.374562,,1.1035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1165,240.871101733,2550,1746880570.2560735,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1224,360.891063757,2625,1746880575.1422973,,,,,,,,,,,,,,,,,,,,1.0020306,,,,,,,,,,,,,,
,1241,360.891275636,2700,1746880580.0235279,,,,,,,,,,,,5529600.0,,,,,,,,,,,,,,,,,,,,,,
,1245,360.891324065,2700,1746880580.0240989,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1251,360.891394028,2700,1746880580.0245385,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,1275,360.891669913,2775,1746880584.905868,,,,,,0.12567976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1310,360.892592571,2850,1746880589.7883885,,,,,,0.12924881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1360,360.893587212,2925,1746880594.6720872,,,,,,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,
,1375,360.893765184,3000,1746880599.5522308,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1376,360.893775646,3000,1746880599.5528705,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1400,360.894049936,3075,1746880604.4336815,,,,,,,,,,,,,,,,,,,,,,,,-15.264805,,,,,,,,,,
,1411,360.894171662,3075,1746880604.4347312,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1416,360.894244575,3075,1746880604.4348922,,,,,,,,,,,,6297600.0,,,,,,,,,,,,,,,,,,,,,,
,1449,360.894622819,3150,1746880609.3168962,,,,,,,,,,,,,,,,,,,,,,,,,,0.059633438,,,,,,,,
,1488,360.89507883,3225,1746880614.2901485,,,,,,,,,,,,,,,-0.014281262,,,,,,,,,,,,,,,,,,,
,1514,360.895386125,3300,1746880619.1707528,,,,,,,,,,,,,,,,,,,,,,,,,,,6758400.0,,,,,,,
,1528,360.895550163,3300,1746880619.1723173,,,,,,,,,,0.9779735,,,,,,,,,,,,,,,,,,,,,,,,
,1537,360.895649097,3300,1746880619.1734023,,,,,,,,,,,,,,,,,,,,,,,445.07812,,,,,,,,,,,
,1565,360.896267847,3375,1746880624.0539157,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1574,360.896531128,3375,1746880624.0550902,,,,,,,,,,,,,,,,,,,,1.0131943,,,,,,,,,,,,,,
,1624,360.897567716,3525,1746880633.817864,,,,,,,,,,,,,,,,,,,,,,,,,,0.027474215,,,,,,,,
,1632,360.897660899,3525,1746880633.8190224,,,,,,,,,,,,,,,,,,,,,,369.46274,,,,,,,,,,,,
,1638,360.897727333,3525,1746880633.8192353,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,1683,360.898246257,3675,1746880643.579075,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
,1702,360.898464826,3675,1746880643.5806296,,,,,,,,,,,,,,,,,,,,,,423.66638,,,,,,,,,,,,
,1730,360.898783161,3750,1746880648.4618065,,,,,,0.01657023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1811,360.900011162,3900,1746880658.2269924,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,1824,480.919242248,3981,1746880786.9628134,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
,1860,480.919703094,4056,1746880791.5903444,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
,1865,480.919762671,4056,1746880791.5905023,,,,,,,,,,,,,,,,,,,,,,,,,,,307200.0,,,,,,,
,1943,480.921697651,4206,1746880800.8449042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,
,1966,480.921966672,4281,1746880805.4705992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
,1975,480.922069892,4281,1746880805.4714818,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048568435,,,,,,,,
,1991,480.922255582,4281,1746880805.4731271,,,,,,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,
,2056,600.940290258,4431,1746880814.725848,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2076,600.940781229,4506,1746880819.3501046,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2098,600.94128398,4506,1746880819.352227,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,2100,600.941326157,4506,1746880819.3528047,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
,2111,600.941633929,4581,1746880823.9759388,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2119,600.941956353,4581,1746880823.976863,,,,,,,,,,,,,,,-0.00093992084,,,,,,,,,,,,,,,,,,,
,2160,600.94245706,4656,1746880828.6034193,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,2184,600.942775574,4731,1746880833.2293212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078125,,,
,2195,600.942931367,4731,1746880833.230466,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,2219,600.943256569,4806,1746880837.8562887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048828125,,,
,2222,600.943301544,4806,1746880837.856726,,,,,,,,,,,,1843200.0,,,,,,,,,,,,,,,,,,,,,,
,2232,600.943428337,4806,1746880837.8575442,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,2314,600.944389969,5031,1746880851.7362509,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
,2320,600.94445544,5031,1746880851.736452,,,,,,,,,,,,,,,,,,,,,,,,,,,2304000.0,,,,,,,
,2327,600.944735512,5031,1746880851.7374802,,,,,,,,,,,,2304000.0,,,,,,,,,,,,,,,,,,,,,,
,2332,600.94484025,5031,1746880851.7376359,,,,,,,,4.0413227,,,,,,,,,,,,,,,,,,,,,,,,,,
,2349,600.945167955,5106,1746880856.364061,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
,2357,600.945376334,5106,1746880856.3650694,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
