_step,_runtime,General/env_index,global_step,_timestamp,Scaled_returns/evaluation_4__asymm_advantages_scaled,reward,Scaled_returns/evaluation_1__cramped_room_scaled,General/explore,General/learning_rate,Losses/entropy,Losses/actor_loss,returned_episode_returns,General/env_step,Scaled_returns/evaluation_5__smallest_kitchen_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/value_loss,General/shaped_reward_agent1,Evaluation/0__square_arena,Evaluation/5__smallest_kitchen,Advantage_Targets/targets,General/shaped_reward_agent0,Scaled_returns/returned_episode_returns_scaled,Losses/total_loss,Scaled_returns/evaluation_2__no_cooperation_scaled,Evaluation/1__cramped_room,Evaluation/3__easy_layout,Losses/reg_loss,Evaluation/2__no_cooperation,Scaled_returns/evaluation_0__square_arena_scaled,General/steps_for_env,Evaluation/4__asymm_advantages,General/update_step,explore,Scaled_returns/evaluation_3__easy_layout_scaled,General/shaped_reward_annealed_agent1,returned_episode_lengths,Advantage_Targets/advantages,task_5_5__smallest_kitchen
886,240.788824644,,1950.0,1746880535.9178917,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,240.789417415,,2025.0,1746880540.2570665,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
946,240.789510043,,2100.0,1746880544.5936644,,,,,,,,,,,,,,,,,49.184013,,,,,,,,,,,,,,,,,,
992,240.79002894,,2175.0,1746880548.9332883,,,,,,,,,,,,,,,,,,0.19238281,,,,,,,,,,,,,,,,,
1000,240.790119233,,2175.0,1746880548.9339426,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
1019,240.7903318,,2250.0,1746880553.2712681,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1027,240.790629534,,2250.0,1746880553.272312,,,,,,,,,,,,,,,,,,0.1821289,,,,,,,,,,,,,,,,,
1038,240.790847445,,2250.0,1746880553.2733772,,,,,,,,,,,,,,,,,,,,,,,,,,0.9729729,,,,,,,,,
1049,240.791093747,,2250.0,1746880553.2741313,,,,,,,,,,,,,,,,,,,1.0038987,,,,,,,,,,,,,,,,
1066,240.791656156,,2325.0,1746880557.611612,,,,,,,,,,,,,,,,,,,,,,,,,,,4761600.0,,,,,,,,
1091,240.791971485,,2400.0,1746880561.9485486,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
1172,240.792901356,,2550.0,1746880570.6245675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550.0,,,,,,
1247,360.808408793,,2700.0,1746880579.299873,,,,,,,,,,,,,157.54118,,,,,,,,,,,,,,,,,,,,,,
1263,360.808913909,,2775.0,1746880583.63638,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1289,360.809476215,,2775.0,1746880583.638625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1308,360.809726122,,2850.0,1746880587.9753797,,,,,,,,,,,,,,0.22705078,,,,,,,,,,,,,,,,,,,,,
1372,360.810565942,,3000.0,1746880596.6508934,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1391,360.810819079,,3000.0,1746880596.6528451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
1399,360.8109141,,3000.0,1746880596.6538184,,,,,,,,,,,,,,,,,,,1.0137775,,,,,,,,,,,,,,,,
1484,360.811890352,,3225.0,1746880609.7609558,,,,,,,,,,,,0.035647556,,,,,,,,,,,,,,,,,,,,,,,
1517,360.812690454,,3300.0,1746880614.0985942,,,,,,,,,,,,,,,,,,0.19482422,,,,,,,,,,,,,,,,,
1523,360.812901688,,3300.0,1746880614.0993817,,,,,,,-0.019162241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,360.81359098,,3375.0,1746880618.4367085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03539462,,,
1570,360.813774602,,3375.0,1746880618.43811,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,
1588,360.813990585,,3450.0,1746880622.775057,,,,,,,,,,,,,,0.20898438,,,,,,,,,,,,,,,,,,,,,
1612,360.814267077,,3525.0,1746880627.1128898,,,,,,,,,,,,,,,268.0,,,,,,,,,,,,,,,,,,,,
1616,360.814311797,,3525.0,1746880627.1130154,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
1648,360.814681124,,3600.0,1746880631.4501705,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1652,360.814724274,,3600.0,1746880631.4502985,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1670,360.814937255,,3600.0,1746880631.4519382,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1689,360.815154147,,3675.0,1746880635.788068,,,,,,,,,7526400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,360.815480895,,3750.0,1746880640.1258595,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,
