General/shaped_reward_annealed_agent0,General/shaped_reward_annealed_agent1,Scaled_returns/returned_episode_returns_scaled,Evaluation/0__smallest_kitchen,Losses/value_loss,_timestamp,task_1_1__cramped_room,Advantage_Targets/advantages,task_4_4__no_cooperation,General/env_index,General/steps_for_env,Evaluation/4__no_cooperation,global_step,Scaled_returns/evaluation_3__square_arena_scaled,returned_episode,Losses/actor_loss,General/learning_rate,Evaluation/1__cramped_room,task_5_5__easy_layout,reward,General/explore,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Losses/reg_loss,returned_episode_lengths,Losses/total_loss,General/shaped_reward_agent1,explore,Advantage_Targets/targets,Losses/entropy,_runtime,General/update_step,returned_episode_returns,Scaled_returns/evaluation_2__asymm_advantages_scaled,General/env_step,task_0_0__smallest_kitchen,task_2_2__asymm_advantages,task_3_3__square_arena,Scaled_returns/evaluation_5__easy_layout_scaled,Evaluation/5__easy_layout,Scaled_returns/evaluation_4__no_cooperation_scaled,Evaluation/2__asymm_advantages,_step,Evaluation/3__square_arena,General/shaped_reward_agent0
,,,,,1746880554.3082595,,,,,,,2325,,,,,0.0,,,,,,,,,,,,,240.936893284,,,,,,,,,,,,1053,,
,,,,,1746880554.3093684,,,,,,,2325,,,,,,,,,,,,,,,,,,240.937055031,2325.0,,,,,,,,,,,1067,,
,,,,,1746880554.3105881,,,,,,,2325,,,,,,,,,,,,,,,0.0,,,240.937186594,,,,,,,,,,,,1079,,
,,0.9453817,,,1746880554.3109512,,,,,,,2325,,,,,,,,,,,,,,,,,,240.93724152,,,,,,,,,,,,1084,,
,,,,,1746880558.7986357,,,,,,,2400,,,,,,,,,,,,,,,,,,240.937349595,,,,4915200.0,,,,,,,,1094,,
,,,,,1746880558.7986627,,,,,,,2400,,,,,,,,0.0,,,,,,,,,,240.937360464,,,,,,,,,,,,1095,,
,,,,,1746880558.80042,,,,,,,2400,,,,,,,,,,,,,,,,,,240.937825175,,,,,,,,0.0,,,,1113,,
,,,,,1746880563.2882502,,,,,,,2475,,,,,,,,,,,,,,,,,,360.951492175,,,,,,,,,,,0.0,1124,,
,,,,,1746880563.2891886,,,,,,,2475,,,,,,,,,,,,,,,,,,360.951596262,,,,,,,,,,,,1132,,0.20996094
,,,,,1746880563.289689,,,,,,,2475,,,,,,,,,,,,,70.444786,,,,,360.951719402,,,,,,,,,,,,1141,,
,,1.013818,,,1746880563.2908504,,,,,,,2475,,,,,,,,,,,,,,,,,,360.951882966,,,,,,,,,,,,1154,,
,0.06820181,,,,1746880567.7788787,,,,,,,2550,,,,,,,,,,,,,,,,,,360.952081268,,,,,,,,,,,,1170,,
,,,,,1746880567.7796433,,,,,,,2550,,,,,,,,,,,,,61.810123,,,,,360.952154865,,,,,,,,,,,,1176,,
,,,,,1746880572.269849,,,,,,,2625,,,,,,,,,,,,,54.868935,,,,,360.952583829,,,,,,,,,,,,1211,,
,,,,,1746880572.2699573,,,,,,,2625,,,,,,,,,0.0,,,,,,,,,360.952619339,,,,,,,,,,,,1214,,
,,,,,1746880576.7582135,,,,,,,2700,,,,,0.0,,,,,,,,,,,,,360.952782757,,,,,,,,,,,,1228,,
,,,,,1746880576.7592359,,,,,5529600.0,,2700,,,,,,,,,,,,,,,,,,360.952936967,,,,,,,,,,,,1241,,
,,,,,1746880576.7610137,,,,,,,2700,,,,,,,0.45898438,,,,,,,,,,,360.953139922,,,,,,,,,,,,1258,,
,,,,,1746880585.7364926,,,,,,,2850,,,,,0.0,,,,,,,,,,,,,360.953610897,,,,,,,,,,,,1298,,
,,,,,1746880585.7375658,,,,,,,2850,,,,,,,,,,,,,,0.19140625,,,,360.953746043,,,,,,,,,,,,1308,,
,,,,,1746880590.2247174,,,,,,,2925,,,,,,,,0.0,,,,,,,,,,360.954638403,,,,,,,,,,,,1340,,
,,,,,1746880599.2047749,,,,,,,3075,,,,,,,,,,0.9133858,,,,,,,,360.956107855,,,,,,,,,,,,1423,,
,,,,,1746880603.7838109,,,,,,,3150,,,,,,,,,,,0.0,,,,,,,360.95648864,,,,,,,,,,,,1455,,
,,,,,1746880608.2715437,,,,,,,3225,,,,,,,,,,,,,,0.19726562,,,,360.956803321,,,,,,,,,,,,1483,,
,,,244.0,,1746880612.7589571,,,,,,,3300,,,,,,,,,,,,,,,,,,360.957079011,,,,,,,,,,,,1507,,
,,,,,1746880617.2494197,,,,,,,3375,0.0,,,,,,,,,,,,,,,,,360.957745637,,,,,,,,,,,,1566,,
,,,,,1746880626.2270606,,,,,,,3525,,,,,,,,,,,,,,,,,,360.958755599,,,,,,,,,0.0,,,1617,,
,,,,,1746880626.2295918,,,,,,,3525,,,,,,,,,,,,,,,,,,360.959451032,,256.25977,,,,,,,,,,1642,,
,,,,,1746880639.694035,,,,,,,3750,,,,,,,,,,,,,,,,,,360.960347184,,,,,,,,,,,0.0,1719,,
,,,,102.14407,1746880639.6955059,,,,,,,3750,,,,,,,,,,,,,,,,,,360.960553221,,,,,,,,,,,,1737,,
,,,,,1746880644.1816225,,,,,,,3825,,,,,,,,,,,,,,,,,,360.960796067,,,,7833600.0,,,,,,,,1759,,
,,,,,1746880644.1835392,,,,,,,3825,,0.0078125,,,,,,,,,,,,,,,,360.961040018,,,,,,,,,,,,1780,,
,,,260.0,,1746880648.669017,,,,,,,3900,,,,,,,,,,,,,,,,,,360.961122003,,,,,,,,,,,,1787,,
,,,,,1746880648.6690779,,,,,,,3900,,,,,,,,,,,,,,,,,,360.961145257,,,,,,,,,,,0.0,1789,,
,,,,,1746880648.6692672,,,,,,,3900,,,,,,,,0.0,,,,,,,,,,360.961209299,,,,,,,,,,,,1795,,
,,,,,1746880648.6695755,,,,,,,3900,,,,0.0003,,,,,,,,,,,,,,360.961219797,,,,,,,,,,,,1796,,
,,,,,1746880782.4876435,,,,,,0.0,3981,,,,,,,,,,,,,,,,,,480.979357831,,,,,,,,,,,,1827,,
,0.004226906,,,,1746880787.0234008,,,,,,,4056,,,,,,,,,,,,,,,,,,480.97990974,,,,,,,,,,,,1871,,
,,,,,1746880791.5568187,,,,,,,4131,0.0,,,,,,,,,,,,,,,,,480.980702848,,,,,,,,,,,,1917,,
,,,,,1746880791.5575092,,,,,,,4131,,,,,,,,,,,,,,,,,,480.980814559,,0.0,,,,,,,,,,1923,,
,,,,,1746880796.085877,,,,,,0.0,4206,,,,,,,,,,,,,,,,,,480.980983897,,,,,,,,,,,,1932,,
,,,,,1746880796.0859625,,,,,,,4206,,,,,,,,,,,,,,,,,,480.981068412,,,,614400.0,,,,,,,,1935,,
,,,,,1746880796.0869386,,,,,,,4206,,,,,,,,,,,1.2664832,,,,,,,480.981366893,,,,,,,,,,,,1946,,
,,,,,1746880800.621044,,,,,,,4281,,,-0.0008859382,,,,,,,,,,,,,,,480.982086076,,,,,,,,,,,,1979,,
,0.028522313,,,,1746880805.156589,,,,,,,4356,,,,,,,,,,,,,,,,,,600.997013378,,,,,,,,,,,,2011,,
,,,,,1746880818.7596228,,,,,,,4581,,,,,,,,,,,1.0051496,,,,,,,600.999448135,,,,,,,,,,,,2121,,
,,,,,1746880823.294146,,,,1.0,,,4656,,,,,,,,,,,,,,,,,,600.999736246,,,,,,,,,,,,2144,,
,,,252.0,,1746880827.830165,,,,,,,4731,,,,,,,,,,,,,,,,,,601.000093035,,,,,,,,,,,,2173,,
,,,,,1746880827.8316545,,,,,,,4731,,,,,,,,,,,,,,,,,0.6091316,601.000290296,,,,,,,,,,,,2190,,
,,,,,1746880836.8999715,,,,,,,4881,,,,,,,,,,,,,,,,,,601.001049344,,,,,,,,,,,,2253,,0.08496094
,,,,,1746880836.9010475,,,,,,,4881,,,,,,,,,,,,,,,,,,601.001202712,,,0.0,,,,,,,,,2266,,
,,,,,1746880841.4330075,,,,,,,4956,,,,,,,,,,,,,,,,22.414532,,601.001330449,,,,,,,,,,,,2277,,
,,,252.0,,1746880841.4330416,,,,,,,4956,,,,,,,,,,,,,,,,,,601.001342193,,,,,,,,,,,,2278,,
,,,,,1746880841.433141,,,,,,,4956,,,,,,,,,,,,,,,,,,601.001375144,,,,,,,,,,,,2281,0.0,
,,,,,1746880841.4345932,,,,,,,4956,,,,,,,,,,,,,,,,,,601.001516451,1050.0,,,,,,,,,,,2293,,
,,,,,1746880845.967761,,,,,,,5031,,,,,,,,,,,,,,,,,,601.002017364,,,0.0,,,,,,,,,2336,,
,,,,,1746880845.9682932,,,,,,,5031,,,,,,,,,,,,,,,0.0,,,601.002061317,,,,,,,,,,,,2340,,
,,,,,1746880845.9684086,,,,,,,5031,,,,,,,0.234375,,,,,,,,,,,601.002318515,,,,,,,,,,,,2344,,
,,,,,1746880850.5027723,,,,,,,5106,,,,,,,,,,,,,,,,22.612206,,601.002379895,,,,,,,,,,,,2347,,
,,,,,1746880850.5029411,,,,,,0.0,5106,,,,,,,,,,,,,,,,,,601.002473727,,,,,,,,,,,,2352,,
,,,,,1746880850.5039237,,,,,2457600.0,,5106,,,,,,,,,,,,,,,,,,601.002750587,,,,,,,,,,,,2362,,
,,,,,1746880855.038083,,,,,,,5181,,,,,,,,,,,,,,,,23.991121,,601.003510643,,,,,,,,,,,,2382,,
,,,,,1746880855.039499,,,,,,,5181,,,-0.001721811,,,,,,,,,,,,,,,601.003723034,,,,,,,,,,,,2399,,
,,,,,1746880855.0401616,,,,,,,5181,,,,,,,,,,,,,,,,,,601.003836566,,,,,,,,,,0.0,,2408,,
,,,,,1746880859.574672,,,,,,,5256,,,,,,,,,,,,,,,,,,601.003982501,,,,,,,,,,,0.0,2420,,
,,,,,1746880864.1097996,,,,,,,5331,,,,,,,,,,,,,,,,25.044678,,601.004391205,,,,,,,,,,,,2452,,
,,,,,1746880864.110021,,,,1.0,,,5331,,,,,,,,,,,,,,,,,,601.004473738,,,,,,,,,,,,2459,,
,,,,,1746880864.1112847,,,,,,,5331,,,,,,,,,,,,,30.499409,,,,,601.004625902,,,,,,,,,,,,2472,,
,,,,,1746880868.6486034,,,,,,,5406,,,,,,,,,,,,,,,,,0.53864944,601.005027412,,,,,,,,,,,,2505,,
,,0.5535996,,,1746880868.6503136,,,,,,,5406,,,,,,,,,,,,,,,,,,601.005202078,,,,,,,,,,,,2520,,
,,,,,1746880873.1835232,,,,,,,5481,,,,,,,,,,,,,,,,,,601.005586859,,143.67188,,,,,,,,,,2553,,
,,,,,1746880877.7145247,,,,,,,5556,,,,,,,,,,,,,,,,,,601.005754245,,,,,,,,,,,,2568,,0.118652344
,,,,,1746880882.2463903,,,,,,,5631,,,,,148.0,,,,,,,,,,,,,601.006060968,,,,,,,,,,,,2594,,
,,,,,1746880882.2471523,,,,,,,5631,,,,0.0003,,,,,,,,,,,,,,601.006181702,,,,,,,,,,,,2602,,
,,,,,1746880882.2479465,,,,,,,5631,,,,,,,,,,,,,37.77776,,,,,601.006601762,,,,,,,,,,,,2612,,
,,,,,1746880882.2484574,,,,,,,5631,,,,,,,,,,,,,,,,,,601.006714134,,,,,,,,,,0.0,,2618,,
,,,,,1746880891.3146756,,,,1.0,,,5781,,,,,,,,,,,,,,,,,,601.007909591,,,,,,,,,,,,2669,,
