Losses/actor_loss,task_1_1__no_cooperation,General/shaped_reward_annealed_agent1,General/shaped_reward_agent0,Losses/reg_loss,_timestamp,returned_episode,Losses/total_loss,returned_episode_returns,returned_episode_lengths,_runtime,Advantage_Targets/targets,Advantage_Targets/advantages,task_0_0__asymm_advantages,Losses/entropy,Evaluation/4__easy_layout,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/evaluation_3__smallest_kitchen_scaled,reward,General/update_step,Evaluation/0__asymm_advantages,global_step,Scaled_returns/returned_episode_returns_scaled,General/env_index,Scaled_returns/evaluation_2__square_arena_scaled,explore,General/learning_rate,General/explore,General/steps_for_env,task_2_2__square_arena,task_4_4__easy_layout,task_5_5__cramped_room,Evaluation/5__cramped_room,Scaled_returns/evaluation_0__asymm_advantages_scaled,Losses/value_loss,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,_step,Evaluation/1__no_cooperation,Evaluation/2__square_arena,General/shaped_reward_agent1,General/shaped_reward_annealed_agent0,Scaled_returns/evaluation_1__no_cooperation_scaled,task_3_3__smallest_kitchen,Evaluation/3__smallest_kitchen
,,,,,1746880564.4785454,,,,,240.991517886,,,,,,,,,,448.0,2175,,,,,,,,,,,,,,,,982,,,,,,,
,,,,,1746880564.4786267,,,,,240.991531992,,,,,,,,,,,2175,,,,,,,,,,,,,,,,983,0.0,,,,,,
,,,,,1746880564.4789162,,,,,240.991590631,,,,,,,,,,,2175,,,,,,,,,,,0.0,,,,,987,,,,,,,
,,,,,1746880564.480513,,,,,240.991762369,,,,0.63026273,,,,,,,2175,,,,,,,,,,,,,,,,999,,,,,,,
,,,0.30517578,,1746880569.177597,,,,,361.00874295,,,,,,,,,,,2250,,,,,,,,,,,,,,,,1027,,,,,,,
,,,,,1746880569.1783264,,219.57336,,,361.008877726,,,,,,,,,,,2250,,,,,,,,,,,,,,,,1036,,,,,,,
,,,,0.0,1746880573.8747013,,,,,361.009359731,,,,,,,,,,,2325,,,,,,,,,,,,,,,,1070,,,,,,,
,,,,,1746880578.5713646,,,,,361.009749312,,,,,,,,,,,2400,,,,,,,,,,,,,,,,1099,,,,0.10833359,,,
,,,,,1746880578.5727592,0.0078125,,,,361.009945869,,,,,,,,,,,2400,,,,,,,,,,,,,,,,1115,,,,,,,
,,,,,1746880583.2670424,,,,,361.010016618,,-16.348656,,,,,,,,,2475,,,,,,,,,,,,,,,,1120,,,,,,,
,,,,,1746880583.267946,,,,,361.010074421,,,,,,,,,,,2475,,,,,,,,,,,,,,,,1124,,0.0,,,,,
,,,0.28076172,,1746880583.2686927,,,,,361.010599211,,,,,,,,,,,2475,,,,,,,,,,,,,,,,1132,,,,,,,
,,,,,1746880583.2688553,,,,,361.01064229,,,,,,,,,,,2475,,,,,,,,,,,,,,,,1134,,,,0.10294297,,,
,,,,,1746880587.9647632,,,,,361.011482617,,,,,0.0,,,,,,2550,,,,,,,,,,,,,,,,1161,,,,,,,
,,,,,1746880592.660715,,,,,361.011956098,,,,,,,,,,,2625,,,,,0.0003,,,,,,,,,,,1201,,,,,,,
,,,,,1746880592.6607823,,,,,361.011979434,,,,,,,,,,,2625,,,,,,,,,,,,,,,,1203,,,0.46728516,,,,
,,,,,1746880592.6618488,,,,,361.012101208,,,,,,,,,,,2625,,,,,,,,,,,,1.0044053,,,,1213,,,,,,,
,,,,,1746880592.6628187,,,,400.0,361.012191009,,,,,,,,,,,2625,,,,,,,,,,,,,,,,1221,,,,,,,
,,,,,1746880602.055355,,,,,361.012848028,,,,0.51788807,,,,,,,2775,,,,,,,,,,,,,,,,1279,,,,,,,
,,,,,1746880602.0568445,,,,,361.013020181,,,,,,,,1.1425781,,,2775,,,,,,,,,,,,,,,,1293,,,,,,,
,,,,,1746880606.7480695,,,,,361.013043612,,-13.545064,,,,,,,,,2850,,,,,,,,,,,,,,,,1295,,,,,,,
,,,,,1746880606.748506,,,,,361.01305541,87.728615,,,,,,,,,,2850,,,,,,,,,,,,,,,,1296,,,,,,,
,,,,,1746880611.4471388,,,,,361.013701112,,,,,,,,,,,2925,,,,,,,,,,,,1.0220264,,,,1353,,,,,,,
,,,,,1746880611.448607,,,,,361.013821787,,,,,,,,,,,2925,0.98325217,,,,,,,,,,,,,,,1364,,,,,,,
,,,,,1746880616.1413577,,,,,361.013834063,,-13.951307,,,,,,,,,3000,,,,,,,,,,,,,,,,1365,,,,,,,
,,,,,1746880620.8382907,,,,,361.014970596,,,,,,,,,,,3075,,,,,,,,,,,,,,6297600.0,,1409,,,,,,,
,,,,,1746880620.8399289,,,,,361.015378263,,,,,,,,,,,3075,,,,,,,,,,,,,,,,1424,,,,,0.0,,
,,,,,1746880625.5329392,,,,,361.015833193,,,,,,,,,,,3150,,,,,,,,,,,,,,,,1438,0.0,,,,,,
,,,,,1746880625.533179,,,,,361.015915669,,,,,,,,,,,3150,,,,,,,,,,,,,,6451200.0,,1444,,,,,,,
,,,0.30029297,,1746880625.5341687,,,,,361.015957635,,,,,,,,,,,3150,,,,,,,,,,,,,,,,1447,,,,,,,
,,,,,1746880630.3446238,,,,,361.016298793,,,,,,,,,,,3225,,,,,,,,,,,,,,,,1473,0.0,,,,,,
,,,,,1746880635.0432553,,,,,361.016992093,,,,,,,,,,,3300,,,,,,,,,,,,,370.16122,,,1527,,,,,,,
,,,,,1746880635.043779,,,,,361.017018658,,,,,,,,,,,3300,,,,,,,,,,,,,,,,1529,,,,,0.0,,
,,,,,1746880639.7371984,,,,,361.017278765,,,,,,,,,,,3375,,,,,,0.0,,,,,,,,,,1550,,,,,,,
,,,,,1746880639.7400048,0.0078125,,,,361.017542143,,,,,,,,,,,3375,,,,,,,,,,,,,,,,1570,,,,,,,
,,0.0543556,,,1746880644.4331691,,,,,361.017798682,,,,,,,,,,,3450,,,,,,,,,,,,,,,,1590,,,,,,,
,,,,,1746880649.1275873,,,,,361.018085499,,,,,,,,,,456.0,3525,,,,,,,,,,,,,,,,1612,,,,,,,
,,,,,1746880658.5199492,,,,,361.020079215,,,,,,,,,,,3675,,,,,,,,,,,,,,7526400.0,,1689,,,,,,,
,,,,,1746880658.5219402,,,,,361.020276365,,,,,,,,,,,3675,,,,,,,,,,,,1.0484581,,,,1703,,,,,,,
,,,,,1746880663.218339,,,,,361.02064742,,,,,,,,,3750.0,,3750,,,,,,,,,,,,,,,,1732,,,,,,,
,,,,,1746880663.2195866,,,,,361.020771447,,,,,,0.0,,,,,3750,,,,,,,,,,,,,,,,1742,,,,,,,
,,,,0.0,1746880667.9128602,,,,,361.021136184,,,,,,,,,,,3825,,,,,,,,,,,,,,,,1770,,,,,,,
,,,,,1746880667.9154286,,,,,361.021304347,,,,,,,,,,,3825,1.015668,,,,,,,,,,,,,,,1784,,,,,,,
,,,,,1746880672.6068728,,,,,361.021328317,81.37659,,,,,,,,,,3900,,,,,,,,,,,,,,,,1786,,,,,,,
,,,,,1746880672.6071966,,,,,361.021376883,,,,,,,,,,,3900,,,,,,,,,,,,,,,,1790,,,,,,,0.0
,,,,,1746880672.6078742,,,,,361.021435335,,,,,,,,,,,3900,,,,,,0.0,,,,,,,,,,1795,,,,,,,
,,,,,1746880672.610687,,,,400.0,361.021698963,,,,,,,,,,,3900,,,,,,,,,,,,,,,,1816,,,,,,,
,,,,,1746880672.6107569,,,,,361.021724656,,,,,,,,1.171875,,,3900,,,,,,,,,,,,,,,,1818,,,,,,,
,,,,,1746880859.5439289,,,,,601.06436424,,,,,,,,,,,3981,,,,,0.0003,,,,,,,,,,,1832,,,,,,,
,,,,,1746880863.9844084,,,,,601.066491589,,,,,,,,0.0,,,4056,,,,,,,,,,,,,,,,1889,,,,,,,
,,,,1.1348059,1746880868.4205704,,,,,601.066764748,,,,,,,,,,,4131,,,,,,,,,,,,,,,,1911,,,,,,,
,,,,,1746880872.8590682,,0.75773,,,601.067191851,,,,,,,,,,,4206,,,,,,,,,,,,,,,,1947,,,,,,,
,,,,,1746880872.8596334,,,,,601.067281601,,,,,,,,,,,4206,,,,0.0,,,,,,,,,,,,1955,,,,,,,
