_step,_runtime,General/env_index,global_step,_timestamp,Scaled_returns/evaluation_4__easy_layout_scaled,reward,Scaled_returns/evaluation_1__square_arena_scaled,General/explore,General/learning_rate,Losses/entropy,Losses/actor_loss,returned_episode_returns,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/value_loss,General/shaped_reward_agent1,Evaluation/0__smallest_kitchen,Evaluation/5__cramped_room,Advantage_Targets/targets,General/shaped_reward_agent0,Scaled_returns/returned_episode_returns_scaled,Losses/total_loss,Scaled_returns/evaluation_2__asymm_advantages_scaled,Evaluation/1__square_arena,Evaluation/3__no_cooperation,Losses/reg_loss,Evaluation/2__asymm_advantages,Scaled_returns/evaluation_0__smallest_kitchen_scaled,General/steps_for_env,Evaluation/4__easy_layout,General/update_step,explore,Scaled_returns/evaluation_3__no_cooperation_scaled,General/shaped_reward_annealed_agent1,returned_episode_lengths,Advantage_Targets/advantages
946,240.948311781,,2100,1746880521.8348916,,,,,,,,,,,,,,,,,50.27522,,,,,,,,,,,,,,,,,
992,240.948836,,2175,1746880526.3032777,,,,,,,,,,,,,,,,,,0.22021484,,,,,,,,,,,,,,,,
1000,240.94892631,,2175,1746880526.303519,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1019,240.949143289,,2250,1746880530.7693412,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1027,240.949231883,,2250,1746880530.7703116,,,,,,,,,,,,,,,,,,0.20800781,,,,,,,,,,,,,,,,
1038,240.949393036,,2250,1746880530.7710507,,,,,,,,,,,,,,,,,,,,,,,,,,0.96062994,,,,,,,,
1049,240.949526037,,2250,1746880530.7720885,,,,,,,,,,,,,,,,,,,1.013818,,,,,,,,,,,,,,,
1066,240.949723843,,2325,1746880535.2382793,,,,,,,,,,,,,,,,,,,,,,,,,,,4761600.0,,,,,,,
1091,240.950008809,,2400,1746880539.7038062,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1172,240.951812694,,2550,1746880548.638781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550.0,,,,,
1247,240.952666828,,2700,1746880557.5746403,,,,,,,,,,,,,140.13559,,,,,,,,,,,,,,,,,,,,,
1263,240.952844581,,2775,1746880562.0404599,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
1289,240.953133499,,2775,1746880562.042787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
1308,360.969911145,,2850,1746880566.5099232,,,,,,,,,,,,,,0.17480469,,,,,,,,,,,,,,,,,,,,
1372,360.970665773,,3000,1746880575.4418154,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1391,360.970886007,,3000,1746880575.4435346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
1399,360.970976909,,3000,1746880575.444425,,,,,,,,,,,,,,,,,,,1.018624,,,,,,,,,,,,,,,
1484,360.971986006,,3225,1746880588.931719,,,,,,,,,,,,0.03931465,,,,,,,,,,,,,,,,,,,,,,
1517,360.972908735,,3300,1746880593.3978949,,,,,,,,,,,,,,,,,,0.17871094,,,,,,,,,,,,,,,,
1523,360.973062766,,3300,1746880593.398677,,,,,,,-0.022222275,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,360.973751443,,3375,1746880597.8656476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027543934,,
1570,360.973931833,,3375,1746880597.8667076,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,
1588,360.974148947,,3450,1746880602.3299098,,,,,,,,,,,,,,0.20166016,,,,,,,,,,,,,,,,,,,,
1612,360.974452654,,3525,1746880606.79461,,,,,,,,,,,,,,,244.0,,,,,,,,,,,,,,,,,,,
1616,360.974500468,,3525,1746880606.7947283,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1648,360.974909601,,3600,1746880611.2612736,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
1652,360.974962059,,3600,1746880611.2613816,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1670,360.975200866,,3600,1746880611.2629445,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1689,360.975427022,,3675,1746880615.7272904,,,,,,,,,7526400.0,,,,,,,,,,,,,,,,,,,,,,,,,
1717,360.975746785,,3750,1746880620.191968,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,
1739,360.975995509,,3750,1746880620.193845,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,360.976007455,,3750,1746880620.193881,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1752,360.976413526,,3825,1746880624.657753,,,,,,,,,,,,,,,252.0,,,,,,,,,,,,,,,,,,,
1754,360.976454016,,3825,1746880624.6578197,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1813,360.97776531,,3900,1746880629.1266048,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1838,481.004562232,,3981,1746880763.6158128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,
1875,481.005792521,,4056,1746880768.0769994,,,,,,0.50303876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,481.005951353,,4056,1746880768.0783782,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,481.006466114,,4206,1746880776.993752,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,
1942,481.006636074,,4206,1746880776.9948936,,,,,,,,,,,,,,,,,,,,,,,,,,,614400.0,,,,,,,
1962,481.006864205,,4281,1746880781.4514415,,,,,,,,,,,,,,,,,0.011034617,,,,,,,,,,,,,,,,,
1976,481.007023065,,4281,1746880781.4524746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1977,481.007033743,,4281,1746880781.452501,,,,,,,,,,,,,,,,,,,,,,,,,,,768000.0,,,,,,,
1987,481.00714916,,4281,1746880781.453378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
1988,481.007161208,,4281,1746880781.4534068,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,481.007194615,,4281,1746880781.4534838,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,
1999,481.007288501,,4356,1746880785.9094248,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2006,481.0073706,,4356,1746880785.909627,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,481.007450862,,4356,1746880785.9105322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,
2023,481.007566665,,4356,1746880785.9114952,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,481.007781563,,4431,1746880790.3679008,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,481.008103555,,4506,1746880794.8251636,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
2086,481.008597353,,4506,1746880794.82657,,,,,,,,,,,,,,,,,,,,,,,,0.73938376,,,,,,,,,,
2090,481.008676979,,4506,1746880794.8269274,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107,481.009165814,,4581,1746880799.283117,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
2120,481.009579125,,4581,1746880799.2846754,,,,,,0.5585015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,481.009982167,,4656,1746880803.7429378,,,,,,,-0.00055625435,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,481.010045266,,4656,1746880803.7435784,,,,,,,,,,,,,,,,,,,,,,,,,,0.9448819,,,,,,,,
2182,601.026854864,,4731,1746880808.201216,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,601.02686799,,4731,1746880808.2012541,,,,,,,,,,,,,,,,,,0.0024414062,,,,,,,,,,,,,,,,
2184,601.026879924,,4731,1746880808.2012854,,,,,,,,,,,,,,0.0029296875,,,,,,,,,,,,,,,,,,,,
2214,601.027692989,1.0,4806,1746880812.6597445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,601.028725376,,4881,1746880817.1199608,,,,,,,,,,,,,,,,,,0.0107421875,,,,,,,,,,,,,,,,
2285,601.029127406,,4956,1746880821.5802023,,,,,,,,,2150400.0,,,,,,,,,,,,,,,,,,,,,,,,,
2296,601.029273082,,4956,1746880821.5816877,,,,,,,,,,,,,,,,,,,,,,,,1.2666569,,,,,,,,,,
2357,601.030071992,,5106,1746880830.5041997,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,601.030485768,,5181,1746880834.9656723,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
