global_step,_timestamp,task_0_0__square_arena,General/env_index,task_2_2__no_cooperation,Scaled_returns/evaluation_3__easy_layout_scaled,Scaled_returns/evaluation_5__smallest_kitchen_scaled,task_3_3__easy_layout,General/shaped_reward_annealed_agent1,Evaluation/2__no_cooperation,_runtime,task_4_4__asymm_advantages,Scaled_returns/evaluation_2__no_cooperation_scaled,Losses/actor_loss,Evaluation/4__asymm_advantages,_step,General/learning_rate,Losses/entropy,task_5_5__smallest_kitchen,General/steps_for_env,returned_episode,returned_episode_returns,Evaluation/1__cramped_room,Evaluation/5__smallest_kitchen,returned_episode_lengths,General/shaped_reward_agent0,Losses/total_loss,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/returned_episode_returns_scaled,Losses/value_loss,Evaluation/3__easy_layout,General/shaped_reward_agent1,General/update_step,task_1_1__cramped_room,Advantage_Targets/advantages,reward,General/shaped_reward_annealed_agent0,explore,Evaluation/0__square_arena,Scaled_returns/evaluation_4__asymm_advantages_scaled,Losses/reg_loss,General/explore,Scaled_returns/evaluation_0__square_arena_scaled,Advantage_Targets/targets,General/env_step
2175,1746880525.0135877,,,,,,,,0.0,240.898158348,,,,,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,1746880525.013764,,,,,,,,,240.89821307,,,,,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4454400.0
2175,1746880525.0153859,,,,,,,,,240.898360598,,,,,1002,,,,,,,,,,,,,,160.62753,,,,,,,,,,,,,,,
2250,1746880529.3384752,,,,,,,,,240.89863329,,,,,1026,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,1746880529.3386173,,,,,,,0.0876271,,240.898679356,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,1746880529.3387253,,,,,,,,,240.898715393,,,-0.014177464,,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,1746880537.9875424,,,,,,,,,240.899371405,,,,,1090,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2475,1746880542.3118584,,,,,,,,,240.899750898,,,,,1123,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2475,1746880542.3129492,,,,,,,,,240.899871151,,,,,1134,,,,,,,,,,,,,,,,,,,,,0.06659962,,,,,,,,
2475,1746880542.3140373,,,,,,,,,240.900053015,,,,,1150,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,
2550,1746880546.6375906,,,,,,,,,240.900824886,,,,,1182,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
2625,1746880550.9602604,,,,,,,,,240.901134263,,,,,1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.384308,
2625,1746880550.9632287,,,,,,,,,240.901737946,,,,,1222,,,,,,255.0293,,,,,,,,,,,,,,,,,,,,,,,
2700,1746880555.2851892,,,,,,,,,240.901887659,,,,,1235,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2700,1746880555.2874796,,,,0.0,,,,,240.902069472,,,,,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,1746880559.610358,,,,,,,,,240.902308791,,,,,1272,,,,,,,,,,0.15234375,,,,,,,,,,,,,,,,,,,
2775,1746880559.610763,,,,,,,,,240.902377406,,,-0.02049429,,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,1746880559.6123679,,,,,,,,,240.902520378,,,,,1291,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,
2850,1746880563.933352,,,,,,,,0.0,240.902616153,,,,,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2850,1746880563.9335551,,,,,,,,,240.902680435,,,,,1305,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2925,1746880568.259091,,,,,,,,,360.91870891,,,,,1341,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2925,1746880568.2591658,,,,,,,,,360.918744103,,,,,1343,,,,,,,,,,,,,,,,0.21386719,,,,,,,,,,,,,
3000,1746880572.5827622,,0.0,,,,,,,360.919129561,,,,,1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,1746880576.9091103,,,,,,,,,360.919829394,,,,,1431,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,
3150,1746880581.2324708,,,,,,,,,360.919941774,,,,0.0,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,1746880581.234885,,,,,,,,,360.920249061,,,,,1467,,,,,,257.49023,,,,,,,,,,,,,,,,,,,,,,,
3225,1746880585.5572336,,0.0,,,,,,,360.920373011,,,,,1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,1746880594.302433,,,,,,,,,360.921523062,,,,,1542,,,,,,,,,,,,,,,,,,,,,,,260.0,,,,,,
3450,1746880598.6266923,,,,,,,,,360.922540661,,,,,1575,,,,,,,,,,,,,,,,,,,-8.143374,,,,,,,,,,
3450,1746880598.6269462,,,,,,,,,360.922613963,,,,0.0,1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,1746880598.6294398,,,,,0.0,,,,360.922869601,,,,,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3525,1746880602.9534051,,,,,,,,,360.923132465,,,,,1626,,,,7219200.0,,,,,,,,,,,,,,,,,,,,,,,,,
3525,1746880602.9534938,,,,,,,,,360.92317503,,,,,1629,,0.56246656,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,1746880607.2770994,,,,,,,,,360.923554163,,,,,1662,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,
3600,1746880607.2777646,,,,,,,,,360.923614071,,,,,1667,,,,,,,,,,,,,,141.53146,,,,,,,,,,,,,,,
3675,1746880611.6017447,,,,,,,,,360.923910592,,,,,1693,,,,,,,,,,,,,,,,0.20751953,,,,,,,,,,,,,
3675,1746880611.6019275,,,,,,,,,360.923978428,,,,,1699,,0.55223864,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,1746880611.6035318,,,,,,,,,360.924143341,,,,,1713,,,,,,,,,,,,,,,,,,,,0.6152344,,,,,,,,,
3750,1746880615.9257848,,,,,,,,,360.924182112,,,,,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.109035,
3750,1746880615.9280226,,,,,,,,,360.924498628,,,,,1744,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
3825,1746880620.2504733,,,,,,,,,360.924565443,,,,,1750,,,,,,,,,,,,,,,,,,,-7.7248664,,,,,,,,,,
3825,1746880620.2529721,,,,0.0,,,,,360.925046292,,,,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
